Architecture,Dataset,Morph_ID,Weight,Morph_Sim_Target,Morph_Sim_P-,Gen_Sim_Target,Gen_Sim_P-,Unpaired
AdaptDiff,Webmorph,001_03-vs-010_03,w_5,0.5886,0.5509,0.0187,-0.0178,Yes
AdaptDiff,Webmorph,001_03-vs-010_03,w_10,0.5886,0.5509,-0.065,0.0202,Yes
AdaptDiff,Webmorph,001_03-vs-014_03,w_0,0.6531,0.6108,-0.0158,0.0126,Yes
AdaptDiff,Webmorph,001_03-vs-014_03,w_5,0.6531,0.6108,-0.006,-0.0158,Yes
AdaptDiff,Webmorph,001_03-vs-014_03,w_10,0.6531,0.6108,0.041,0.0421,Yes
AdaptDiff,MIPGAN_I,001_03-vs-010_03,w_0,0.4513,0.412,0.0824,0.2613,No
AdaptDiff,MIPGAN_I,001_03-vs-010_03,w_5,0.4513,0.412,0.1066,0.0696,Yes
AdaptDiff,MIPGAN_I,001_03-vs-010_03,w_10,0.4513,0.412,-0.006,-0.0514,Yes
AdaptDiff,MIPGAN_I,001_03-vs-030_03,w_0,0.4239,0.3638,0.0441,0.4241,No
AdaptDiff,MIPGAN_I,001_03-vs-030_03,w_5,0.4239,0.3638,-0.0913,-0.042,Yes
AdaptDiff,MIPGAN_I,001_03-vs-030_03,w_10,0.4239,0.3638,-0.0037,0.0228,Yes
AdaptDiff,MIPGAN_II,001_03-vs-014_03,w_0,0.4494,0.4074,0.2867,0.4241,No
AdaptDiff,MIPGAN_II,001_03-vs-014_03,w_5,0.4494,0.4074,0.0082,-0.042,Yes
AdaptDiff,MIPGAN_II,001_03-vs-014_03,w_10,0.4494,0.4074,0.0547,0.0228,Yes
AdaptDiff,MIPGAN_II,001_03-vs-030_03,w_0,0.3837,0.2694,0.2723,0.1713,No
AdaptDiff,MIPGAN_II,001_03-vs-030_03,w_5,0.3837,0.2694,0.0982,-0.0056,Yes
AdaptDiff,MIPGAN_II,001_03-vs-030_03,w_10,0.3837,0.2694,0.0142,-0.0184,Yes
